cod_prov;provincia;comunidad_autonoma;temporada_alta;presion_turistica_hab;estacionalidad_cv;ocupacion_hotel_media;ocupacion_hotel_pico;ocupacion_hotel_finsemana;poblacion;viajeros_hotel_anual;estancia_media_hotel;plazas_hotel_media;puntos_turisticos_ine;adr_medio;revpar_max;plazas_rural_media;ocupacion_rural_media;viajeros_rural_anual;estancia_media_rural;cluster_saturacion;saturacion;cluster_potencial;potencial
25;Lleida;Cataluña/Catalunya;Verano;2.182022027303304;0.2471522239993452;37.68;55.33;46.88;439727.0;1992660.0;2.21;15068.0;2;90.02083333333333;72.0;3795.0;17.16;42805.0;2.51;0;Desaprovechado;2;Potencial alto
26;La Rioja;La Rioja;Verano;2.044034321880199;0.3024378079757115;44.8;63.74;58.52;319796.0;1335909.0;1.73;6774.0;1;83.22666666666667;61.25;1046.0;18.36;13883.0;2.3;0;Desaprovechado;0;Potencial bajo
27;Lugo;Galicia;Verano;2.5637014474882904;0.5173159422871373;37.08;61.46;42.17;326013.0;1689030.0;1.62;9442.0;2;62.88;55.05;1090.0;18.63;15403.0;2.03;0;Desaprovechado;0;Potencial bajo
28;Madrid;Comunidad de Madrid;Otoño;1.9969950754312047;0.0810702301210643;59.94;66.12;66.97;6751251.0;26547440.0;2.07;125824.0;2;148.82916666666668;144.16;3718.0;21.86;73203.0;1.84;0;Desaprovechado;1;Destinos estrella
29;Málaga;Andalucía;Verano;3.756579036606;0.2896042604332761;62.2;79.6;66.83;1695651.0;12569772.0;3.53;94302.0;8;139.35;181.09;8672.0;22.4;31171.0;3.69;1;Hipersaturado;1;Destinos estrella
30;Murcia;Región de Murcia;Verano;1.0079678047739655;0.2246095824412211;47.83;64.55;58.78;1518486.0;3086714.0;2.31;19186.0;2;76.59333333333333;71.24;2843.0;12.87;23329.0;2.46;0;Desaprovechado;2;Potencial alto
31;Navarra;Comunidad Foral de Navarra;Verano;1.7175093758928073;0.3100360631141254;47.0;63.79;54.84;661537.0;2227229.0;1.94;12142.0;1;78.355;72.13;5908.0;20.25;66404.0;2.94;0;Desaprovechado;2;Potencial alto
32;Ourense;Galicia;Verano;1.1507848360051502;0.1796817301146599;32.45;41.91;38.78;305223.0;682169.0;1.94;5847.0;0;65.8325;33.93;687.0;20.24;11524.0;1.83;0;Desaprovechado;0;Potencial bajo
33;Asturias;Principado de Asturias;Verano;1.927372424371808;0.4159907921190591;43.69;74.17;53.51;1011792.0;3927653.0;1.96;22452.0;3;78.52749999999999;95.97;11681.0;20.31;132450.0;3.12;0;Desaprovechado;1;Destinos estrella
34;Palencia;Castilla y León;Verano;1.335583165224386;0.3588767839992229;38.24;55.3;42.09;159123.0;442830.0;1.92;2804.0;0;62.88583333333333;44.24;1716.0;17.25;21119.0;2.35;0;Desaprovechado;0;Potencial bajo
