cod_prov,provincia,comunidad_autonoma,temporada_alta,presion_turistica_hab,estacionalidad_cv,ocupacion_hotel_media,ocupacion_hotel_pico,ocupacion_hotel_finsemana,poblacion,viajeros_hotel_anual,estancia_media_hotel,plazas_hotel_media,puntos_turisticos_ine,adr_medio,revpar_max,plazas_rural_media,ocupacion_rural_media,viajeros_rural_anual,estancia_media_rural,hoteles_osm,restaurantes_osm,atracciones_osm,museos_osm,total_poi_osm,cluster_saturacion_id,cluster_saturacion,activos_culturales,capacidad_rural_libre,margen_hotel_valle,cluster_potencial_id,cluster_potencial,indice_saturacion,indice_potencial,politica_recomendada
15,A Coruña,Galicia,M08,2.11058944733398,0.4260063910732186,44.23,69.66,51.22,1120134.0,2131148.0,1.78,24519.0,2,76.73083333333334,68.24,1307.0,24.73,31665.0,1.84,52,498,20,25,595,0,Desaprovechado,45,983.7789,13674.246300000003,0,Alto Potencial Cultural y Desestacionalizable,0.357152584234466,0.15389714490754278,Desestacionalización y Gestión de Flujos
16,Cuenca,Castilla-La Mancha,M08,1.53481556496655,0.2373115004214541,28.46,37.14,38.69,195516.0,279988.0,1.75,5062.0,1,71.99249999999999,32.51,4023.0,13.68,64470.0,2.25,29,75,16,10,130,0,Desaprovechado,26,3472.6535999999996,3621.3548,0,Alto Potencial Cultural y Desestacionalizable,-0.9524367106079074,-0.020025339790770334,Turismo Pausado / Ecoturismo de Nicho
17,Girona,Cataluña/Catalunya,M08,5.824170222070796,0.5235808197387745,53.01,82.93,62.32,786596.0,3845356.0,2.99,57766.0,1,98.1075,126.87,6556.0,23.17,127788.0,2.43,37,329,8,11,385,2,Grandes Metrópolis,19,5036.9748,27144.2434,0,Alto Potencial Cultural y Desestacionalizable,1.6355406649795359,0.720473367344861,Desestacionalización y Gestión de Flujos
18,Granada,Andalucía,M10,3.1417340867303856,0.1223685361550411,51.41,58.97,59.91,921338.0,2415853.0,2.15,31575.0,3,97.83666666666666,69.88,1940.0,15.98,27827.0,2.33,135,574,57,27,793,0,Desaprovechado,84,1629.988,15342.2925,0,Alto Potencial Cultural y Desestacionalizable,-0.33789479408596645,0.4041737357973144,Objetivo Prioritario: Inversión y Diversificación
19,Guadalajara,Castilla-La Mancha,M10,1.157989065771044,0.1616311615732258,32.81,38.48,41.5,265588.0,270721.0,1.8,4471.0,2,80.31916666666667,38.75,3423.0,16.86,69393.0,2.17,1,0,0,0,1,0,Desaprovechado,0,2845.8822,3004.0649,2,Potencial Ecoturístico y Rural de Interior,-1.1554144548758207,-1.2931834409783514,Turismo Pausado / Ecoturismo de Nicho
20,Gipuzkoa,País Vasco/Euskadi,M08,2.2011258441420707,0.2148081796712047,60.54,83.88,69.29,726033.0,1390782.0,2.06,14272.0,1,140.51166666666666,193.68,1954.0,31.43,41687.0,2.9,100,459,9,16,584,2,Grandes Metrópolis,25,1339.8578,5631.731200000001,0,Alto Potencial Cultural y Desestacionalizable,0.27695336735952075,-0.052341213077334414,Alerta de Saturación: Contención y Desvío de Demanda
21,Huelva,Andalucía,M08,2.2776041914288703,0.643627977491385,48.26,76.1,55.97,525835.0,927504.0,3.58,19089.0,0,101.1875,132.45,1222.0,20.15,27413.0,2.12,9,85,15,5,114,2,Grandes Metrópolis,20,975.7669999999999,9876.648600000002,0,Alto Potencial Cultural y Desestacionalizable,1.0078984288160824,-0.2845815691979677,Alerta de Saturación: Contención y Desvío de Demanda
22,Huesca,Aragón,M08,4.4732681125816,0.3260174784998244,41.0,65.2,50.72,224264.0,838694.0,2.22,14138.0,1,89.35416666666667,65.66,4439.0,19.55,71016.0,2.89,7,12,1,1,21,0,Desaprovechado,2,3571.1755,8341.420000000002,2,Potencial Ecoturístico y Rural de Interior,0.5127190611992583,-0.5687932767753006,Alerta de Saturación: Contención y Desvío de Demanda
23,Jaén,Andalucía,M10,0.924882412028253,0.1875214595212689,35.0,42.83,46.83,627190.0,522139.0,1.79,8109.0,1,70.08166666666666,34.09,1798.0,13.51,25280.0,2.32,6,152,2,6,166,0,Desaprovechado,8,1555.0902,5270.85,0,Alto Potencial Cultural y Desestacionalizable,-1.0413204043343562,-0.37091314743607084,Turismo Pausado / Ecoturismo de Nicho
24,León,Castilla y León,M08,1.932473777191359,0.32374277343697,39.95,56.67,47.86,451706.0,786862.0,1.66,9667.0,1,64.29333333333334,47.12,3435.0,16.94,57286.0,2.18,0,3,0,0,3,0,Desaprovechado,0,2853.111,5805.0335000000005,2,Potencial Ecoturístico y Rural de Interior,-0.21230885993919738,-1.0677715463452173,Turismo Pausado / Ecoturismo de Nicho
25,Lleida,Cataluña/Catalunya,M08,2.182022027303304,0.2471522239993452,37.64,55.64,47.24,439727.0,805339.0,2.17,15116.0,2,90.02083333333333,72.0,3725.0,17.02,63383.0,2.47,15,194,3,9,221,0,Desaprovechado,12,3091.005,9426.337599999999,0,Alto Potencial Cultural y Desestacionalizable,-0.34901110113308514,0.00823842305907313,Turismo Pausado / Ecoturismo de Nicho
26,La Rioja,La Rioja,M08,2.044034321880199,0.3024378079757115,43.96,63.74,58.33,319796.0,636582.0,1.73,6728.0,1,83.22666666666667,61.25,1058.0,19.47,22469.0,2.2,26,110,16,5,157,0,Desaprovechado,21,852.0074,3770.3712,0,Alto Potencial Cultural y Desestacionalizable,-0.061989707049814595,-0.36320078305091685,Alerta de Saturación: Contención y Desvío de Demanda
27,Lugo,Galicia,M08,2.5637014474882904,0.5173159422871373,36.87,62.8,41.93,326013.0,768713.0,1.65,9448.0,2,62.88,55.05,1171.0,18.64,24337.0,1.99,1,10,3,0,14,0,Desaprovechado,3,952.7256,5964.5224,2,Potencial Ecoturístico y Rural de Interior,0.4735476396267549,-0.9307741030099432,Alerta de Saturación: Contención y Desvío de Demanda
