COD_PROV;PROVINCIA;COD_CA;COMUNIDAD_AUTONOMA;CAPITAL;Perc_Provincia;Perc_VALOR PERNOCTACIONES;Perc_VALOR VIAJERO;Perc_PERIODO PERNOCTACIONES;Perc_PERIODO VIAJERO;COD_INE;Ratios_Provincia;Ratios_Periodo ADR Dato;Ratios_Periodo ADR Tasa Var;Ratios_Periodo RevPar Dato;Ratios_Periodo RevPar Tasa Var;Ratios_Valor ADR Dato;Ratios_Valor ADR Tasa Var;Ratios_Valor RevPar Dato;Ratios_Valor RevPar Tasa Var;Ratios_ADR Anual Medio;cod_prov;Metricas_provincia;Metricas_poblacion;Metricas_total_viajeros;Metricas_media_mensual_viajeros;Metricas_std_mensual_viajeros;Metricas_presion_turistica;Metricas_indice_estacionalidad;Metricas_n_meses;Metricas__meta.fecha_extraccion
18;Granada;1;Andalucía;Granada;Granada;5195359.0;2415853.0;M08;M10;18;Granada;M01;M01;M10;M01;110.9;18.58;69.88;19.93;97.83666666666666;18;Granada;921338.0;2894599.0;241216.5833333333;29517.320198820504;3.1417340867303856;0.1223685361550411;12;2026-09-06T23:46:39.776749
19;Guadalajara;8;Castilla-La Mancha;Guadalajara;Guadalajara;486979.0;270721.0;M10;M10;19;Guadalajara;M09;M08;M09;M03;87.6;25.99;38.75;43.8;80.31916666666667;19;Guadalajara;265588.0;307548.0;25629.0;4142.445039960206;1.157989065771044;0.1616311615732258;12;2026-09-06T23:46:39.776749
20;Gipuzkoa;16;País Vasco/Euskadi;Donostia/San Sebastián;Guipúzcoa;2862528.0;1390782.0;M08;M08;20;Gipuzkoa;M07;M07;M07;M07;230.82;19.05;193.68;20.76;140.51166666666666;20;Gipuzkoa;726033.0;1598090.0;133174.16666666666;28606.9003208963;2.2011258441420707;0.2148081796712047;12;2026-09-06T23:46:39.776749
21;Huelva;1;Andalucía;Huelva;Huelva;3321766.0;927504.0;M08;M08;21;Huelva;M07;M07;M07;M10;179.46;21.9;132.45;22.17;101.1875;21;Huelva;525835.0;1197644.0;99803.66666666669;64236.43212289104;2.2776041914288703;0.643627977491385;12;2026-09-06T23:46:39.776749
22;Huesca;2;Aragón;Huesca;Huesca;1861947.0;838694.0;M08;M08;22;Huesca;M12;M12;M08;M12;111.0;24.09;65.66;37.21;89.35416666666667;22;Huesca;224264.0;1003193.0;83599.41666666667;27254.871025722867;4.4732681125816;0.3260174784998244;12;2026-09-06T23:46:39.776749
23;Jaén;1;Andalucía;Jaén;Jaén;934983.0;522139.0;M08;M10;23;Jaén;M05;M09;M05;M08;75.98;11.23;34.09;13.89;70.08166666666666;23;Jaén;627190.0;580077.0;48339.75;9064.740472893258;0.924882412028253;0.1875214595212689;12;2026-09-06T23:46:39.776749
24;León;7;Castilla y León;León;León;1304917.0;786862.0;M08;M08;24;León;M08;M10;M08;M10;71.79;5.91;47.12;20.82;64.29333333333334;24;León;451706.0;872910.0;72742.5;23549.85869673879;1.932473777191359;0.32374277343697;12;2026-09-06T23:46:39.776749
25;Lleida;9;Cataluña/Catalunya;Lleida;Lleida;1747935.0;805339.0;M08;M08;25;Lleida;M02;M02;M02;M10;131.73;6.01;72.0;18.59;90.02083333333333;25;Lleida;439727.0;959494.0;79957.83333333333;19761.756334502315;2.182022027303304;0.2471522239993452;12;2026-09-06T23:46:39.776749
26;La Rioja;17;La Rioja;Logroño;Rioja, La;1098427.0;636582.0;M08;M08;26;Rioja La;M10;M12;M09;M12;89.72;8.44;61.25;26.28;83.22666666666667;26;Rioja, La;319796.0;653674.0;54472.833333333336;16474.644307559603;2.044034321880199;0.3024378079757115;12;2026-09-06T23:46:39.776749
27;Lugo;12;Galicia;Lugo;Lugo;1269890.0;768713.0;M08;M08;27;Lugo;M08;M07;M08;M03;79.91;15.84;55.05;26.48;62.879999999999995;27;Lugo;326013.0;835800.0;69650.0;36031.05538029911;2.5637014474882904;0.5173159422871373;12;2026-09-06T23:46:39.776749
28;Madrid;13;Comunidad de Madrid;Madrid;Madrid;23369224.0;11299507.0;M10;M10;28;Madrid;M10;M08;M10;M08;173.05;12.58;144.16;17.26;148.82916666666668;28;Madrid;6751251.0;13482215.0;1123517.9166666667;91083.8560493055;1.9969950754312051;0.0810702301210643;12;2026-09-06T23:46:39.776749
