Valor;Localidad;Genero;Metrica;Unidad;COD_INE
63.0;Casas del Conde, Las;Total;Total habitantes;Personas.;37090
761.0;Casas del Monte;Total;Total habitantes;Personas.;10055
80.0;Casas del Puerto;Total;Total habitantes;Personas.;05052
210.0;Casasbuenas;Total;Total habitantes;Personas.;45042
88.0;Casaseca de Campeán;Total;Total habitantes;Personas.;49038
373.0;Casaseca de las Chanas;Total;Total habitantes;Personas.;49039
4616.0;Casas-Ibáñez;Total;Total habitantes;Personas.;02024
3177.0;Casasimarro;Total;Total habitantes;Personas.;16066
67.0;Casasola;Total;Total habitantes;Personas.;05053
205.0;Casasola de Arión;Total;Total habitantes;Personas.;47036
1393.0;Casatejada;Total;Total habitantes;Personas.;10058
1362.0;Casavieja;Total;Total habitantes;Personas.;05054
287.0;Casbas de Huesca;Total;Total habitantes;Personas.;22081
25.0;Cascajares de Bureba;Total;Total habitantes;Personas.;09077
25.0;Cascajares de la Sierra;Total;Total habitantes;Personas.;09078
4231.0;Cascante;Total;Total habitantes;Personas.;31068
73.0;Cascante del Río;Total;Total habitantes;Personas.;44064
912.0;Cáseda;Total;Total habitantes;Personas.;31069
250.0;Caseres;Total;Total habitantes;Personas.;43041
673.0;Casillas;Total;Total habitantes;Personas.;05055
354.0;Casillas de Coria;Total;Total habitantes;Personas.;10059
171.0;Casillas de Flores;Total;Total habitantes;Personas.;37091
3153.0;Casinos;Total;Total habitantes;Personas.;46089
155.0;Casla;Total;Total habitantes;Personas.;40045
1437.0;Caso;Total;Total habitantes;Personas.;33015
10365.0;Caspe;Total;Total habitantes;Personas.;50074
120.0;Caspueñas;Total;Total habitantes;Personas.;19074
11131.0;Cassà de la Selva;Total;Total habitantes;Personas.;17044
1660.0;Casserres;Total;Total habitantes;Personas.;08049
11908.0;Castalla;Total;Total habitantes;Personas.;03053
1020.0;Castañar de Ibor;Total;Total habitantes;Personas.;10060
440.0;Castañares de Rioja;Total;Total habitantes;Personas.;26043
3290.0;Castañeda;Total;Total habitantes;Personas.;39019
217.0;Castaño del Robledo;Total;Total habitantes;Personas.;21022
178.0;Cástaras;Total;Total habitantes;Personas.;18044
120.0;Castejón;Total;Total habitantes;Personas.;16067
4725.0;Castejón;Total;Total habitantes;Personas.;31070
75.0;Castejón de Alarba;Total;Total habitantes;Personas.;50075
62.0;Castejón de Henares;Total;Total habitantes;Personas.;19075
87.0;Castejón de las Armas;Total;Total habitantes;Personas.;50076
459.0;Castejón de Monegros;Total;Total habitantes;Personas.;22083
840.0;Castejón de Sos;Total;Total habitantes;Personas.;22084
64.0;Castejón de Tornos;Total;Total habitantes;Personas.;44065
188.0;Castejón de Valdejasa;Total;Total habitantes;Personas.;50077
359.0;Castejón del Puente;Total;Total habitantes;Personas.;22082
79.0;Castel de Cabra;Total;Total habitantes;Personas.;44066
102.0;Castelflorite;Total;Total habitantes;Personas.;22085
21.0;Castell de Cabres;Total;Total habitantes;Personas.;12037
443.0;Castell de Castells;Total;Total habitantes;Personas.;03054
284.0;Castell de Guadalest, el;Total;Total habitantes;Personas.;03075
68.0;Castell de l'Areny;Total;Total habitantes;Personas.;08057
159.0;Castell de Mur;Total;Total habitantes;Personas.;25904
7774.0;Castell, Es;Total;Total habitantes;Personas.;07064
48.0;Castellanos de Castro;Total;Total habitantes;Personas.;09079
3149.0;Castellanos de Moriscos;Total;Total habitantes;Personas.;37092
727.0;Castellanos de Villiquera;Total;Total habitantes;Personas.;37185
106.0;Castellanos de Zapardiel;Total;Total habitantes;Personas.;05056
3147.0;Castellar;Total;Total habitantes;Personas.;23025
2984.0;Castellar de la Frontera;Total;Total habitantes;Personas.;11013
22.0;Castellar de la Muela;Total;Total habitantes;Personas.;19076
131.0;Castellar de la Ribera;Total;Total habitantes;Personas.;25064
166.0;Castellar de n'Hug;Total;Total habitantes;Personas.;08052
1714.0;Castellar de Santiago;Total;Total habitantes;Personas.;13033
151.0;Castellar del Riu;Total;Total habitantes;Personas.;08050
25422.0;Castellar del Vallès;Total;Total habitantes;Personas.;08051
54.0;Castellar, El;Total;Total habitantes;Personas.;44070
4159.0;Castellbell i el Vilar;Total;Total habitantes;Personas.;08053
13061.0;Castellbisbal;Total;Total habitantes;Personas.;08054
804.0;Castellcir;Total;Total habitantes;Personas.;08055
952.0;Castelldans;Total;Total habitantes;Personas.;25067
70057.0;Castelldefels;Total;Total habitantes;Personas.;08056
2776.0;Castellet i la Gornal;Total;Total habitantes;Personas.;08058
966.0;Castellfollit de la Roca;Total;Total habitantes;Personas.;17046
153.0;Castellfollit de Riubregós;Total;Total habitantes;Personas.;08060
467.0;Castellfollit del Boix;Total;Total habitantes;Personas.;08059
178.0;Castellfort;Total;Total habitantes;Personas.;12038
2413.0;Castellgalí;Total;Total habitantes;Personas.;08061
1473.0;Castellnou de Bages;Total;Total habitantes;Personas.;08062
726.0;Castellnou de Seana;Total;Total habitantes;Personas.;25068
912.0;Castellnovo;Total;Total habitantes;Personas.;12039
548.0;Castelló de Farfanya;Total;Total habitantes;Personas.;25069
2345.0;Castelló de Rugat;Total;Total habitantes;Personas.;46090
12201.0;Castelló d'Empúries;Total;Total habitantes;Personas.;17047
669.0;Castellolí;Total;Total habitantes;Personas.;08063
183711.0;Castelló de la Plana/Castellón de la Plana;Total;Total habitantes;Personas.;12040
159.0;Castellonet de la Conquesta;Total;Total habitantes;Personas.;46091
665.0;Castellote;Total;Total habitantes;Personas.;44071
12982.0;Castell d'Aro, Platja d'Aro i s'Agaró;Total;Total habitantes;Personas.;17048
993.0;Castellserà;Total;Total habitantes;Personas.;25070
2754.0;Castellterçol;Total;Total habitantes;Personas.;08064
3002.0;Castellvell del Camp;Total;Total habitantes;Personas.;43042
1721.0;Castellví de la Marca;Total;Total habitantes;Personas.;08065
2171.0;Castellví de Rosanes;Total;Total habitantes;Personas.;08066
94.0;Castelnou;Total;Total habitantes;Personas.;44067
804.0;Castelserás;Total;Total habitantes;Personas.;44068
284.0;Castielfabib;Total;Total habitantes;Personas.;46092
280.0;Castiello de Jaca;Total;Total habitantes;Personas.;22086
80.0;Castigaleu;Total;Total habitantes;Personas.;22087
26.0;Castil de Peones;Total;Total habitantes;Personas.;09083
54.0;Castil de Vela;Total;Total habitantes;Personas.;34048
820.0;Castilblanco;Total;Total habitantes;Personas.;06035
5145.0;Castilblanco de los Arroyos;Total;Total habitantes;Personas.;41027
34.0;Castildelgado;Total;Total habitantes;Personas.;09082
58.0;Castilfalé;Total;Total habitantes;Personas.;24042
57.0;Castilforte;Total;Total habitantes;Personas.;19078
35.0;Castilfrío de la Sierra;Total;Total habitantes;Personas.;42056
219.0;Castiliscar;Total;Total habitantes;Personas.;50078
164.0;Castillazuelo;Total;Total habitantes;Personas.;22088
2843.0;Castilleja de Guzmán;Total;Total habitantes;Personas.;41028
17074.0;Castilleja de la Cuesta;Total;Total habitantes;Personas.;41029
611.0;Castilleja del Campo;Total;Total habitantes;Personas.;41030
1284.0;Castilléjar;Total;Total habitantes;Personas.;18045
94.0;Castillejo de Iniesta;Total;Total habitantes;Personas.;16068
193.0;Castillejo de Martín Viejo;Total;Total habitantes;Personas.;37096
119.0;Castillejo de Mesleón;Total;Total habitantes;Personas.;40046
100.0;Castillejo de Robledo;Total;Total habitantes;Personas.;42058
31.0;Castillejo-Sierra;Total;Total habitantes;Personas.;16070
889.0;Castillo de Bayuela;Total;Total habitantes;Personas.;45043
129.0;Castillo de Garcimuñoz;Total;Total habitantes;Personas.;16072
1501.0;Castillo de las Guardas, El;Total;Total habitantes;Personas.;41031
3805.0;Castillo de Locubín;Total;Total habitantes;Personas.;23026
110.0;Castillo de Villamalefa;Total;Total habitantes;Personas.;12041
17.0;Castillo-Albaráñez;Total;Total habitantes;Personas.;16071
334.0;Castillonroy;Total;Total habitantes;Personas.;22089
14.0;Castillonuevo/Gazteluberri;Total;Total habitantes;Personas.;31071
8.0;Castilnuevo;Total;Total habitantes;Personas.;19079
170.0;Castilruiz;Total;Total habitantes;Personas.;42057
33.0;Castraz;Total;Total habitantes;Personas.;37097
322.0;Castrejón de la Peña;Total;Total habitantes;Personas.;34049
171.0;Castrejón de Trabancos;Total;Total habitantes;Personas.;47037
1289.0;Castrelo de Miño;Total;Total habitantes;Personas.;32022
947.0;Castrelo do Val;Total;Total habitantes;Personas.;32021
1927.0;Castril;Total;Total habitantes;Personas.;18046
100.0;Castrillo de Cabrera;Total;Total habitantes;Personas.;24043
177.0;Castrillo de Don Juan;Total;Total habitantes;Personas.;34050
108.0;Castrillo de Duero;Total;Total habitantes;Personas.;47038
133.0;Castrillo de la Guareña;Total;Total habitantes;Personas.;49040
159.0;Castrillo de la Reina;Total;Total habitantes;Personas.;09084
136.0;Castrillo de la Valduerna;Total;Total habitantes;Personas.;24044
626.0;Castrillo de la Vega;Total;Total habitantes;Personas.;09085
91.0;Castrillo de Onielo;Total;Total habitantes;Personas.;34051
56.0;Castrillo de Riopisuerga;Total;Total habitantes;Personas.;09088
167.0;Castrillo de Villavega;Total;Total habitantes;Personas.;34052
858.0;Castrillo del Val;Total;Total habitantes;Personas.;09086
48.0;Castrillo Mota de Judíos;Total;Total habitantes;Personas.;09090
21998.0;Castrillón;Total;Total habitantes;Personas.;33016
157.0;Castrillo-Tejeriego;Total;Total habitantes;Personas.;47039
1244.0;Castro Caldelas;Total;Total habitantes;Personas.;32023
101.0;Castro de Filabres;Total;Total habitantes;Personas.;04033
41.0;Castro de Fuentidueña;Total;Total habitantes;Personas.;40047
5001.0;Castro de Rei;Total;Total habitantes;Personas.;27010
7597.0;Castro del Río;Total;Total habitantes;Personas.;14019
43.0;Castrobol;Total;Total habitantes;Personas.;47040
898.0;Castrocalbón;Total;Total habitantes;Personas.;24046
623.0;Castrocontrigo;Total;Total habitantes;Personas.;24047
148.0;Castrodeza;Total;Total habitantes;Personas.;47041
432.0;Castrogonzalo;Total;Total habitantes;Personas.;49041
794.0;Castrojeriz;Total;Total habitantes;Personas.;09091
27.0;Castrojimeno;Total;Total habitantes;Personas.;40048
49.0;Castromembibre;Total;Total habitantes;Personas.;47042
193.0;Castromocho;Total;Total habitantes;Personas.;34053
319.0;Castromonte;Total;Total habitantes;Personas.;47043
216.0;Castronuevo;Total;Total habitantes;Personas.;49042
412.0;Castronuevo de Esgueva;Total;Total habitantes;Personas.;47044
737.0;Castronuño;Total;Total habitantes;Personas.;47045
1570.0;Castropodame;Total;Total habitantes;Personas.;24049
3202.0;Castropol;Total;Total habitantes;Personas.;33017
128.0;Castroponce;Total;Total habitantes;Personas.;47046
31.0;Castroserna de Abajo;Total;Total habitantes;Personas.;40049
24.0;Castroserracín;Total;Total habitantes;Personas.;40051
106.0;Castrotierra de Valmadrigal;Total;Total habitantes;Personas.;24050
33450.0;Castro-Urdiales;Total;Total habitantes;Personas.;39020
2478.0;Castroverde;Total;Total habitantes;Personas.;27011
240.0;Castroverde de Campos;Total;Total habitantes;Personas.;49043
192.0;Castroverde de Cerrato;Total;Total habitantes;Personas.;47047
57.0;Castroviejo;Total;Total habitantes;Personas.;26044
5457.0;Castuera;Total;Total habitantes;Personas.;06036
3005.0;Catadau;Total;Total habitantes;Personas.;46093
30604.0;Catarroja;Total;Total habitantes;Personas.;46094
719.0;Catí;Total;Total habitantes;Personas.;12042
5375.0;Catllar, El;Total;Total habitantes;Personas.;43043
3274.0;Catoira;Total;Total habitantes;Personas.;36010
9600.0;Catral;Total;Total habitantes;Personas.;03055
10439.0;Caudete;Total;Total habitantes;Personas.;02025
725.0;Caudete de las Fuentes;Total;Total habitantes;Personas.;46095
735.0;Caudiel;Total;Total habitantes;Personas.;12043
38.0;Cava;Total;Total habitantes;Personas.;25071
246.0;Cavia;Total;Total habitantes;Personas.;09063
186.0;Cayuela;Total;Total habitantes;Personas.;09093
2195.0;Cazalegas;Total;Total habitantes;Personas.;45045
762.0;Cazalilla;Total;Total habitantes;Personas.;23027
4626.0;Cazalla de la Sierra;Total;Total habitantes;Personas.;41032
6930.0;Cazorla;Total;Total habitantes;Personas.;23028
72.0;Cazurra;Total;Total habitantes;Personas.;49044
373.0;Cea;Total;Total habitantes;Personas.;24051
146.0;Cebanico;Total;Total habitantes;Personas.;24052
3270.0;Cebolla;Total;Total habitantes;Personas.;45046
60.0;Cebrecos;Total;Total habitantes;Personas.;09094
3345.0;Cebreros;Total;Total habitantes;Personas.;05057
439.0;Cebrones del Río;Total;Total habitantes;Personas.;24053
1769.0;Ceclavín;Total;Total habitantes;Personas.;10061
6547.0;Cedeira;Total;Total habitantes;Personas.;15022
453.0;Cedillo;Total;Total habitantes;Personas.;10062
80.0;Cedillo de la Torre;Total;Total habitantes;Personas.;40052
4525.0;Cedillo del Condado;Total;Total habitantes;Personas.;45047
652.0;Cedrillas;Total;Total habitantes;Personas.;44074
7731.0;Cee;Total;Total habitantes;Personas.;15023
14506.0;Cehegín;Total;Total habitantes;Personas.;30017
172.0;Ceinos de Campos;Total;Total habitantes;Personas.;47048
91.0;Celada del Camino;Total;Total habitantes;Personas.;09095
331.0;Celadas;Total;Total habitantes;Personas.;44075
5723.0;Celanova;Total;Total habitantes;Personas.;32024
2702.0;Cella;Total;Total habitantes;Personas.;44076
2027.0;Cellera de Ter, La;Total;Total habitantes;Personas.;17189
15.0;Cellorigo;Total;Total habitantes;Personas.;26045
5621.0;Celrà;Total;Total habitantes;Personas.;17049
1874.0;Cendea de Olza/Oltza Zendea;Total;Total habitantes;Personas.;31193
68.0;Cendejas de Enmedio;Total;Total habitantes;Personas.;19080
23.0;Cendejas de la Torre;Total;Total habitantes;Personas.;19081
8254.0;Cenes de la Vega;Total;Total habitantes;Personas.;18047
2173.0;Cenicero;Total;Total habitantes;Personas.;26046
2152.0;Cenicientos;Total;Total habitantes;Personas.;28037
1163.0;Cenizate;Total;Total habitantes;Personas.;02026
1066.0;Cenlle;Total;Total habitantes;Personas.;32025
7864.0;Centelles;Total;Total habitantes;Personas.;08067
158.0;Centenera;Total;Total habitantes;Personas.;19082
19.0;Centenera de Andaluz;Total;Total habitantes;Personas.;42059
287.0;Cepeda;Total;Total habitantes;Personas.;37098
63.0;Cepeda la Mora;Total;Total habitantes;Personas.;05058
27.0;Cerbón;Total;Total habitantes;Personas.;42060
5116.0;Cerceda;Total;Total habitantes;Personas.;15024
7772.0;Cercedilla;Total;Total habitantes;Personas.;28038
1236.0;Cercs;Total;Total habitantes;Personas.;08268
370.0;Cerdà;Total;Total habitantes;Personas.;46096
58528.0;Cerdanyola del Vallès;Total;Total habitantes;Personas.;08266
5671.0;Cerdedo-Cotobade;Total;Total habitantes;Personas.;36902
1006.0;Cerdido;Total;Total habitantes;Personas.;15025
55.0;Cereceda de la Sierra;Total;Total habitantes;Personas.;37099
231.0;Cerecinos de Campos;Total;Total habitantes;Personas.;49046
111.0;Cerecinos del Carrizal;Total;Total habitantes;Personas.;49047
64.0;Cerezal de Peñahorcada;Total;Total habitantes;Personas.;37100
147.0;Cerezo;Total;Total habitantes;Personas.;10063
150.0;Cerezo de Abajo;Total;Total habitantes;Personas.;40053
119.0;Cerezo de Arriba;Total;Total habitantes;Personas.;40054
467.0;Cerezo de Río Tirón;Total;Total habitantes;Personas.;09098
105.0;Cernadilla;Total;Total habitantes;Personas.;49048
77.0;Cerollera, La;Total;Total habitantes;Personas.;44077
105.0;Cerralbo;Total;Total habitantes;Personas.;37101
452.0;Cerralbos, Los;Total;Total habitantes;Personas.;45048
42.0;Cerratón de Juarros;Total;Total habitantes;Personas.;09100
2246.0;Cerro de Andévalo, El;Total;Total habitantes;Personas.;21023
363.0;Cerro, El;Total;Total habitantes;Personas.;37102
1142.0;Cervantes;Total;Total habitantes;Personas.;27012
241.0;Cervatos de la Cueza;Total;Total habitantes;Personas.;34055
9743.0;Cervelló;Total;Total habitantes;Personas.;08068
9603.0;Cervera;Total;Total habitantes;Personas.;25072
165.0;Cervera de Buitrago;Total;Total habitantes;Personas.;28039
263.0;Cervera de la Cañada;Total;Total habitantes;Personas.;50079
513.0;Cervera de los Montes;Total;Total habitantes;Personas.;45049
2272.0;Cervera de Pisuerga;Total;Total habitantes;Personas.;34056
220.0;Cervera del Llano;Total;Total habitantes;Personas.;16073
617.0;Cervera del Maestre;Total;Total habitantes;Personas.;12044
2237.0;Cervera del Río Alhama;Total;Total habitantes;Personas.;26047
38.0;Cerveruela;Total;Total habitantes;Personas.;50080
641.0;Cervià de les Garrigues;Total;Total habitantes;Personas.;25073
1029.0;Cervià de Ter;Total;Total habitantes;Personas.;17050
87.0;Cervillego de la Cruz;Total;Total habitantes;Personas.;47049
4137.0;Cervo;Total;Total habitantes;Personas.;27013
480.0;Cespedosa de Tormes;Total;Total habitantes;Personas.;37103
534.0;Cetina;Total;Total habitantes;Personas.;50081
83595.0;Ceuta;Total;Total habitantes;Personas.;51001
13089.0;Ceutí;Total;Total habitantes;Personas.;30018
464.0;Cevico de la Torre;Total;Total habitantes;Personas.;34057
175.0;Cevico Navero;Total;Total habitantes;Personas.;34058
68.0;Chagarcía Medianero;Total;Total habitantes;Personas.;37114
120.0;Chalamera;Total;Total habitantes;Personas.;22094
61.0;Chamartín;Total;Total habitantes;Personas.;05067
467.0;Chandrexa de Queixa;Total;Total habitantes;Personas.;32029
8171.0;Chantada;Total;Total habitantes;Personas.;27016
739.0;Chañe;Total;Total habitantes;Personas.;40065
2705.0;Chapinería;Total;Total habitantes;Personas.;28051
5817.0;Chauchina;Total;Total habitantes;Personas.;18059
268.0;Checa;Total;Total habitantes;Personas.;19103
1175.0;Cheles;Total;Total habitantes;Personas.;06042
2452.0;Chella;Total;Total habitantes;Personas.;46107
1863.0;Chelva;Total;Total habitantes;Personas.;46106
13.0;Chequilla;Total;Total habitantes;Personas.;19104
508.0;Chera;Total;Total habitantes;Personas.;46108
301.0;Chercos;Total;Total habitantes;Personas.;04036
8951.0;Cheste;Total;Total habitantes;Personas.;46109
90.0;Chía;Total;Total habitantes;Personas.;22095
90864.0;Chiclana de la Frontera;Total;Total habitantes;Personas.;11015
859.0;Chiclana de Segura;Total;Total habitantes;Personas.;23029
3199.0;Chilches/Xilxes;Total;Total habitantes;Personas.;12053
907.0;Chillarón de Cuenca;Total;Total habitantes;Personas.;16023
76.0;Chillarón del Rey;Total;Total habitantes;Personas.;19106
1752.0;Chillón;Total;Total habitantes;Personas.;13038
1309.0;Chilluévar;Total;Total habitantes;Personas.;23030
4117.0;Chiloeches;Total;Total habitantes;Personas.;19105
1265.0;Chimeneas;Total;Total habitantes;Personas.;18061
407.0;Chimillas;Total;Total habitantes;Personas.;22096
4614.0;Chinchilla de Monte-Aragón;Total;Total habitantes;Personas.;02029
5800.0;Chinchón;Total;Total habitantes;Personas.;28052
20076.0;Chipiona;Total;Total habitantes;Personas.;11016
496.0;Chiprana;Total;Total habitantes;Personas.;50092
1619.0;Chirivel;Total;Total habitantes;Personas.;04037
17951.0;Chiva;Total;Total habitantes;Personas.;46111
98.0;Chodes;Total;Total habitantes;Personas.;50093
107.0;Xodos/Chodos;Total;Total habitantes;Personas.;12055
316.0;Chóvar;Total;Total habitantes;Personas.;12056
2699.0;Chozas de Abajo;Total;Total habitantes;Personas.;24065
5044.0;Chozas de Canales;Total;Total habitantes;Personas.;45056
2306.0;Chucena;Total;Total habitantes;Personas.;21030
252.0;Chueca;Total;Total habitantes;Personas.;45057
710.0;Chulilla;Total;Total habitantes;Personas.;46112
49.0;Chumillas;Total;Total habitantes;Personas.;16081
16878.0;Churriana de la Vega;Total;Total habitantes;Personas.;18062
77.0;Ciadoncha;Total;Total habitantes;Personas.;09101
18.0;Cidamón;Total;Total habitantes;Personas.;26048
313.0;Cidones;Total;Total habitantes;Personas.;42061
26350.0;Ciempozuelos;Total;Total habitantes;Personas.;28040
39.0;Cierva, La;Total;Total habitantes;Personas.;16074
528.0;Cieza;Total;Total habitantes;Personas.;39021
35577.0;Cieza;Total;Total habitantes;Personas.;30019
1731.0;Cifuentes;Total;Total habitantes;Personas.;19086
5454.0;Cigales;Total;Total habitantes;Personas.;47050
14.0;Cigudosa;Total;Total habitantes;Personas.;42062
361.0;Ciguñuela;Total;Total habitantes;Personas.;47051
35.0;Cihuela;Total;Total habitantes;Personas.;42063
205.0;Cihuri;Total;Total habitantes;Personas.;26049
3827.0;Cijuela;Total;Total habitantes;Personas.;18048
84.0;Cillán;Total;Total habitantes;Personas.;05059
31.0;Cillaperlata;Total;Total habitantes;Personas.;09102
1547.0;Cilleros;Total;Total habitantes;Personas.;10064
21.0;Cilleros de la Bastida;Total;Total habitantes;Personas.;37104
209.0;Cilleruelo de Abajo;Total;Total habitantes;Personas.;09103
52.0;Cilleruelo de Arriba;Total;Total habitantes;Personas.;09104
41.0;Cilleruelo de San Mamés;Total;Total habitantes;Personas.;40055
1386.0;Cillorigo de Liébana;Total;Total habitantes;Personas.;39022
431.0;Cimanes de la Vega;Total;Total habitantes;Personas.;24054
710.0;Cimanes del Tejar;Total;Total habitantes;Personas.;24055
70.0;Cimballa;Total;Total habitantes;Personas.;50082
97.0;Cinco Olivas;Total;Total habitantes;Personas.;50083
20.0;Cincovillas;Total;Total habitantes;Personas.;19087
433.0;Cinctorres;Total;Total habitantes;Personas.;12045
8565.0;Cintruénigo;Total;Total habitantes;Personas.;31072
233.0;Cipérez;Total;Total habitantes;Personas.;37106
220.0;Cirat;Total;Total habitantes;Personas.;12046
473.0;Cirauqui/Zirauki;Total;Total habitantes;Personas.;31074
67.0;Ciria;Total;Total habitantes;Personas.;42064
170.0;Ciriza/Ziritza;Total;Total habitantes;Personas.;31075
136.0;Ciruelas;Total;Total habitantes;Personas.;19088
723.0;Ciruelos;Total;Total habitantes;Personas.;45050
90.0;Ciruelos de Cervera;Total;Total habitantes;Personas.;09105
23.0;Ciruelos del Pinar;Total;Total habitantes;Personas.;19089
194.0;Cirueña;Total;Total habitantes;Personas.;26050
21.0;Cirujales del Río;Total;Total habitantes;Personas.;42065
107.0;Cisla;Total;Total habitantes;Personas.;05060
426.0;Cisneros;Total;Total habitantes;Personas.;34059
283.0;Cistella;Total;Total habitantes;Personas.;17051
9489.0;Cistérniga;Total;Total habitantes;Personas.;47052
2857.0;Cistierna;Total;Total habitantes;Personas.;24056
76217.0;Ciudad Real;Total;Total habitantes;Personas.;13034
11750.0;Ciudad Rodrigo;Total;Total habitantes;Personas.;37107
32431.0;Ciutadella de Menorca;Total;Total habitantes;Personas.;07015
186.0;Ciutadilla;Total;Total habitantes;Personas.;25074
3949.0;Cizur;Total;Total habitantes;Personas.;31076
73.0;Clarés de Ribota;Total;Total habitantes;Personas.;50084
160.0;Clariana de Cardener;Total;Total habitantes;Personas.;25075
294.0;Clavijo;Total;Total habitantes;Personas.;26051
3321.0;Coaña;Total;Total habitantes;Personas.;33018
169.0;Cóbdar;Total;Total habitantes;Personas.;04034
2719.0;Cobeja;Total;Total habitantes;Personas.;45051
7670.0;Cobeña;Total;Total habitantes;Personas.;28041
100.0;Cobeta;Total;Total habitantes;Personas.;19090
4550.0;Cobisa;Total;Total habitantes;Personas.;45052
129.0;Cobos de Cerrato;Total;Total habitantes;Personas.;34060
25.0;Cobos de Fuentidueña;Total;Total habitantes;Personas.;40056
543.0;Cobreros;Total;Total habitantes;Personas.;49050
1706.0;Coca;Total;Total habitantes;Personas.;40057
96.0;Coca de Alba;Total;Total habitantes;Personas.;37108
11498.0;Cocentaina;Total;Total habitantes;Personas.;03056
204.0;Codo;Total;Total habitantes;Personas.;50085
312.0;Codoñera, La;Total;Total habitantes;Personas.;44080
294.0;Codorniz;Total;Total habitantes;Personas.;40058
237.0;Codos;Total;Total habitantes;Personas.;50086
1983.0;Codosera, La;Total;Total habitantes;Personas.;06037
1113.0;Cofrentes;Total;Total habitantes;Personas.;46097
143.0;Cogeces de Íscar;Total;Total habitantes;Personas.;47053
640.0;Cogeces del Monte;Total;Total habitantes;Personas.;47054
19.0;Cogollor;Total;Total habitantes;Personas.;19091
687.0;Cogollos;Total;Total habitantes;Personas.;09108
614.0;Cogollos de Guadix;Total;Total habitantes;Personas.;18049
2119.0;Cogollos de la Vega;Total;Total habitantes;Personas.;18050
574.0;Cogolludo;Total;Total habitantes;Personas.;19092
163.0;Cogul, El;Total;Total habitantes;Personas.;25076
26574.0;Coín;Total;Total habitantes;Personas.;29042
1945.0;Coirós;Total;Total habitantes;Personas.;15027
494.0;Colera;Total;Total habitantes;Personas.;17054
3228.0;Coles;Total;Total habitantes;Personas.;32026
375.0;Colilla, La;Total;Total habitantes;Personas.;05061
8570.0;Colindres;Total;Total habitantes;Personas.;39023
585.0;Coll de Nargó;Total;Total habitantes;Personas.;25077
147.0;Collado de Contreras;Total;Total habitantes;Personas.;05062
274.0;Collado de la Vera;Total;Total habitantes;Personas.;10065
18.0;Collado del Mirón;Total;Total habitantes;Personas.;05063
116.0;Collado Hermoso;Total;Total habitantes;Personas.;40059
7722.0;Collado Mediano;Total;Total habitantes;Personas.;28046
67274.0;Collado Villalba;Total;Total habitantes;Personas.;28047
89.0;Collazos de Boedo;Total;Total habitantes;Personas.;34061
4828.0;Collbató;Total;Total habitantes;Personas.;08069
155.0;Colldejou;Total;Total habitantes;Personas.;43045
391.0;Collsuspina;Total;Total habitantes;Personas.;08070
3626.0;Colmenar;Total;Total habitantes;Personas.;29043
177.0;Colmenar de Montemayor;Total;Total habitantes;Personas.;37109
9127.0;Colmenar de Oreja;Total;Total habitantes;Personas.;28043
2044.0;Colmenar del Arroyo;Total;Total habitantes;Personas.;28042
58730.0;Colmenar Viejo;Total;Total habitantes;Personas.;28045
9640.0;Colmenarejo;Total;Total habitantes;Personas.;28044
1278.0;Colomera;Total;Total habitantes;Personas.;18051
208.0;Colomers;Total;Total habitantes;Personas.;17055
3143.0;Colunga;Total;Total habitantes;Personas.;33019
124.0;Colungo;Total;Total habitantes;Personas.;22090
277.0;Coma i la Pedra, La;Total;Total habitantes;Personas.;25163
1354.0;Comares;Total;Total habitantes;Personas.;29044
2075.0;Comillas;Total;Total habitantes;Personas.;39024
3824.0;Cómpeta;Total;Total habitantes;Personas.;29045
438.0;Conca de Dalt;Total;Total habitantes;Personas.;25161
74.0;Condado de Castilnovo;Total;Total habitantes;Personas.;40060
1468.0;Condado de Treviño;Total;Total habitantes;Personas.;09109
14.0;Condemios de Abajo;Total;Total habitantes;Personas.;19095
101.0;Condemios de Arriba;Total;Total habitantes;Personas.;19096
111.0;Conesa;Total;Total habitantes;Personas.;43046
293.0;Confrides;Total;Total habitantes;Personas.;03057
1418.0;Congosto;Total;Total habitantes;Personas.;24057
132.0;Congosto de Valdavia;Total;Total habitantes;Personas.;34062
18.0;Congostrina;Total;Total habitantes;Personas.;19097
24102.0;Conil de la Frontera;Total;Total habitantes;Personas.;11014
367.0;Conquista;Total;Total habitantes;Personas.;14020
193.0;Conquista de la Sierra;Total;Total habitantes;Personas.;10066
4521.0;Consell;Total;Total habitantes;Personas.;07016
7108.0;Constantí;Total;Total habitantes;Personas.;43047
5745.0;Constantina;Total;Total habitantes;Personas.;41033
104.0;Constanzana;Total;Total habitantes;Personas.;05064
9767.0;Consuegra;Total;Total habitantes;Personas.;45053
34.0;Contamina;Total;Total habitantes;Personas.;50087
81.0;Contreras;Total;Total habitantes;Personas.;09110
180.0;Coomonte;Total;Total habitantes;Personas.;49052
44.0;Copernal;Total;Total habitantes;Personas.;19098
352.0;Copons;Total;Total habitantes;Personas.;08071
117.0;Corbalán;Total;Total habitantes;Personas.;44082
3266.0;Corbera;Total;Total habitantes;Personas.;46098
16010.0;Corbera de Llobregat;Total;Total habitantes;Personas.;08072
1023.0;Corbera d'Ebre;Total;Total habitantes;Personas.;43048
174.0;Corbillos de los Oteros;Total;Total habitantes;Personas.;24058
1502.0;Corbins;Total;Total habitantes;Personas.;25078
