Valor;Localidad;Genero;Metrica;Unidad;COD_INE
804.0;Aiguaviva;Total;Total habitantes;Personas.;17002
1199.0;Aigües;Total;Total habitantes;Personas.;03004
133.0;Aín;Total;Total habitantes;Personas.;12002
2335.0;Aínsa-Sobrarbe;Total;Total habitantes;Personas.;22907
1036.0;Ainzón;Total;Total habitantes;Personas.;50006
326.0;Aisa;Total;Total habitantes;Personas.;22006
2591.0;Aitona;Total;Total habitantes;Personas.;25038
822.0;Aizarnazabal;Total;Total habitantes;Personas.;20003
4868.0;Ajalvir;Total;Total habitantes;Personas.;28002
79.0;Ajamil de Cameros;Total;Total habitantes;Personas.;26004
458.0;Ajangiz;Total;Total habitantes;Personas.;48911
2379.0;Ajofrín;Total;Total habitantes;Personas.;45001
204.0;Alacón;Total;Total habitantes;Personas.;44006
62.0;Aladrén;Total;Total habitantes;Personas.;50007
1427.0;Alaejos;Total;Total habitantes;Personas.;47004
7532.0;Alagón;Total;Total habitantes;Personas.;50008
919.0;Alagón del Río;Total;Total habitantes;Personas.;10903
10217.0;Alaior;Total;Total habitantes;Personas.;07002
793.0;Alájar;Total;Total habitantes;Personas.;21001
2061.0;Alajeró;Total;Total habitantes;Personas.;38003
5426.0;Alameda;Total;Total habitantes;Personas.;29001
67.0;Alameda de Gardón, La;Total;Total habitantes;Personas.;37005
4350.0;Alameda de la Sagra;Total;Total habitantes;Personas.;45002
267.0;Alameda del Valle;Total;Total habitantes;Personas.;28003
518.0;Alamedilla;Total;Total habitantes;Personas.;18002
94.0;Alamedilla, La;Total;Total habitantes;Personas.;37006
450.0;Alamillo;Total;Total habitantes;Personas.;13003
54.0;Alaminos;Total;Total habitantes;Personas.;19004
10594.0;Álamo, El;Total;Total habitantes;Personas.;28004
835.0;Alamús, Els;Total;Total habitantes;Personas.;25004
1802.0;Alange;Total;Total habitantes;Personas.;06004
1638.0;Alanís;Total;Total habitantes;Personas.;41002
30166.0;Alaquàs;Total;Total habitantes;Personas.;46005
910.0;Alar del Rey;Total;Total habitantes;Personas.;34005
444.0;Alaraz;Total;Total habitantes;Personas.;37007
91.0;Alarba;Total;Total habitantes;Personas.;50009
173.0;Alarcón;Total;Total habitantes;Personas.;16003
144.0;Alarilla;Total;Total habitantes;Personas.;19005
6121.0;Alaró;Total;Total habitantes;Personas.;07001
320.0;Alàs i Cerc;Total;Total habitantes;Personas.;25005
504.0;Alatoz;Total;Total habitantes;Personas.;02002
