COD_PROV,PROVINCIA,Anyo,Periodo,pernoctaciones,viajeros,_meta.fecha_extraccion
04,Almería,2025,M10,2949.0,1209.0,2026-09-14T13:39:22.163107
04,Almería,2025,M11,2622.0,1500.0,2026-09-14T13:39:22.163107
04,Almería,2025,M12,3763.0,1877.0,2026-09-14T13:39:22.163107
04,Almería,2026,M01,2058.0,1021.0,2026-09-14T13:39:22.163107
04,Almería,2026,M02,2286.0,1269.0,2026-09-14T13:39:22.163107
04,Almería,2026,M03,3156.0,1451.0,2026-09-14T13:39:22.163107
04,Almería,2026,M04,3799.0,1703.0,2026-09-14T13:39:22.163107
04,Almería,2026,M05,3718.0,1737.0,2026-09-14T13:39:22.163107
04,Almería,2026,M06,4245.0,1736.0,2026-09-14T13:39:22.163107
04,Almería,2026,M07,7503.0,3213.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M01,14626.0,6564.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M02,15095.0,7649.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M03,20526.0,9460.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M04,29657.0,10650.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M05,27083.0,12562.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M06,28182.0,13332.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M07,40592.0,14858.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M08,58933.0,16329.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M09,25363.0,11763.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M10,21913.0,11265.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M11,20213.0,10053.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M12,28965.0,12056.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M01,12626.0,5726.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M02,13821.0,6826.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M03,16570.0,8404.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M04,23096.0,10597.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M05,23494.0,11679.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M06,20975.0,10212.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M07,29754.0,12712.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M01,4889.0,2544.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M02,7517.0,4428.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M03,7774.0,4674.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M04,12715.0,6042.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M05,10492.0,5566.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M06,9710.0,5459.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M07,13017.0,6487.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M08,19503.0,8601.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M09,10104.0,5293.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M10,10321.0,5505.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M11,8343.0,4560.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M12,13080.0,5625.0,2026-09-14T13:39:22.163107
06,Badajoz,2026,M01,7240.0,3289.0,2026-09-14T13:39:22.163107
06,Badajoz,2026,M02,7337.0,3179.0,2026-09-14T13:39:22.163107
06,Badajoz,2026,M03,8449.0,4298.0,2026-09-14T13:39:22.163107
06,Badajoz,2026,M04,11904.0,5764.0,2026-09-14T13:39:22.163107
06,Badajoz,2026,M05,10052.0,5148.0,2026-09-14T13:39:22.163107
06,Badajoz,2026,M06,10421.0,5161.0,2026-09-14T13:39:22.163107
06,Badajoz,2026,M07,12494.0,6225.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M01,5771.0,2363.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M02,7522.0,3565.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M03,11783.0,5567.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M04,13844.0,6286.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M05,17225.0,7435.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M06,29669.0,11479.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M07,29254.0,10799.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M08,35699.0,11637.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M09,27253.0,10362.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M10,15532.0,7321.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M11,10698.0,5138.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2025,M12,8805.0,4288.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2026,M01,4326.0,2158.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2026,M02,5330.0,2974.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2026,M03,10650.0,5635.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2026,M04,15037.0,7412.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2026,M05,20775.0,8883.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2026,M06,30614.0,11411.0,2026-09-14T13:39:22.163107
07,"Balears, Illes",2026,M07,35735.0,11982.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M01,11464.0,6211.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M02,13363.0,6652.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M03,20929.0,10403.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M04,26799.0,10435.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M05,30308.0,13067.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M06,31935.0,13422.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M07,32353.0,11119.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M08,34836.0,9496.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M09,29894.0,13293.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M10,26886.0,13185.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M11,24611.0,11620.0,2026-09-14T13:39:22.163107
08,Barcelona,2025,M12,31706.0,12467.0,2026-09-14T13:39:22.163107
08,Barcelona,2026,M01,19523.0,8441.0,2026-09-14T13:39:22.163107
08,Barcelona,2026,M02,18072.0,8500.0,2026-09-14T13:39:22.163107
08,Barcelona,2026,M03,22316.0,10444.0,2026-09-14T13:39:22.163107
08,Barcelona,2026,M04,27365.0,10680.0,2026-09-14T13:39:22.163107
08,Barcelona,2026,M05,31222.0,14315.0,2026-09-14T13:39:22.163107
08,Barcelona,2026,M06,31696.0,15683.0,2026-09-14T13:39:22.163107
08,Barcelona,2026,M07,49952.0,15581.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M01,7052.0,2650.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M02,9204.0,4278.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M03,16220.0,7264.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M04,24529.0,10213.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M05,26914.0,13783.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M06,19194.0,9161.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M07,28760.0,11537.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M08,45985.0,14360.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M09,23221.0,10065.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M10,23035.0,11363.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M11,20985.0,9202.0,2026-09-14T13:39:22.163107
09,Burgos,2025,M12,22958.0,9242.0,2026-09-14T13:39:22.163107
09,Burgos,2026,M01,7599.0,3394.0,2026-09-14T13:39:22.163107
09,Burgos,2026,M02,10987.0,5392.0,2026-09-14T13:39:22.163107
09,Burgos,2026,M03,12396.0,6274.0,2026-09-14T13:39:22.163107
09,Burgos,2026,M04,25804.0,11085.0,2026-09-14T13:39:22.163107
09,Burgos,2026,M05,26580.0,11933.0,2026-09-14T13:39:22.163107
09,Burgos,2026,M06,17443.0,8857.0,2026-09-14T13:39:22.163107
09,Burgos,2026,M07,30783.0,12474.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M01,11831.0,6448.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M02,20660.0,11472.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M03,27177.0,13463.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M04,48234.0,19972.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M05,32569.0,14459.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M06,34449.0,15275.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M07,55711.0,23106.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M08,69309.0,22818.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M09,30213.0,12810.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M10,25043.0,12754.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M11,23198.0,11085.0,2026-09-14T13:39:22.163107
10,Cáceres,2025,M12,27287.0,11943.0,2026-09-14T13:39:22.163107
10,Cáceres,2026,M01,15313.0,7777.0,2026-09-14T13:39:22.163107
10,Cáceres,2026,M02,16232.0,8663.0,2026-09-14T13:39:22.163107
10,Cáceres,2026,M03,29019.0,14635.0,2026-09-14T13:39:22.163107
10,Cáceres,2026,M04,38447.0,17182.0,2026-09-14T13:39:22.163107
10,Cáceres,2026,M05,33199.0,15770.0,2026-09-14T13:39:22.163107
10,Cáceres,2026,M06,32899.0,15279.0,2026-09-14T13:39:22.163107
10,Cáceres,2026,M07,51364.0,20800.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M01,2558.0,1488.0,2026-09-14T13:39:22.163107
11,Cádiz,2025,M02,2796.0,1721.0,2026-09-14T13:39:22.163107
