COD_PROV,PROVINCIA,Anyo,Periodo,establecimientos_abiertos,grado_ocupacion_finsemana,grado_ocupacion_habitaciones,grado_ocupacion_plazas,plazas_estimadas,_meta.fecha_extraccion
03,Alicante/Alacant,2024,M12,418.0,53.43,54.1,46.6,70021.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M01,433.0,48.87,53.34,44.37,63496.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M02,452.0,62.31,63.07,53.5,65260.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M03,541.0,62.84,66.18,56.53,77789.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M04,560.0,70.17,70.45,61.93,81984.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M05,572.0,73.51,75.46,65.43,83787.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M06,594.0,79.47,79.55,70.75,84914.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M07,610.0,80.55,80.29,74.93,85680.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M08,621.0,80.63,85.04,80.19,85993.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M09,616.0,78.0,80.53,70.72,85859.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M10,581.0,71.25,74.4,64.53,84357.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M11,521.0,65.36,66.31,56.09,74615.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2025,M12,492.0,52.1,53.92,46.26,69362.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2026,M01,501.0,48.62,51.24,42.83,66396.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2026,M02,534.0,64.43,63.3,53.55,67698.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2026,M03,601.0,59.76,64.46,54.82,77507.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2026,M04,635.0,71.55,71.23,62.92,83381.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2026,M05,639.0,74.18,76.4,66.95,84801.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2026,M06,645.0,77.7,80.28,71.76,82877.0,2026-09-14T13:39:16.852415
03,Alicante/Alacant,2026,M07,674.0,79.26,82.02,75.55,87520.0,2026-09-14T13:39:16.852415
