COD_PROV,PROVINCIA,Anyo,Periodo,establecimientos_abiertos,grado_ocupacion_finsemana,grado_ocupacion_habitaciones,grado_ocupacion_plazas,plazas_estimadas,_meta.fecha_extraccion
03,Alicante/Alacant,2024,M12,174.0,27.23,22.59,17.08,1830.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M01,123.0,20.29,10.14,8.57,1158.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M02,148.0,31.07,13.47,11.91,1330.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M03,156.0,29.48,14.99,12.29,1454.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M04,165.0,40.15,23.85,18.81,1554.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M05,179.0,31.84,19.76,16.34,1600.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M06,184.0,38.49,23.55,18.23,1756.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M07,184.0,47.45,37.63,29.68,1801.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M08,189.0,51.11,51.97,41.54,1672.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M09,182.0,40.16,24.99,20.26,1617.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M10,186.0,32.16,18.24,13.92,1641.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M11,178.0,32.28,16.86,13.3,1571.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2025,M12,178.0,25.57,19.6,13.36,1771.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2026,M01,158.0,17.98,10.93,8.82,1503.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2026,M02,157.0,28.32,19.43,11.73,1486.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2026,M03,172.0,28.5,16.74,12.09,1660.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2026,M04,175.0,43.31,26.45,20.18,1582.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2026,M05,176.0,31.79,23.89,16.35,1816.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2026,M06,175.0,41.31,27.58,20.06,1602.0,2026-09-14T13:39:21.195883
03,Alicante/Alacant,2026,M07,180.0,41.02,36.86,25.95,1869.0,2026-09-14T13:39:21.195883
04,Almería,2024,M08,161.0,44.78,54.36,46.39,1521.0,2026-09-14T13:39:21.195883
04,Almería,2024,M09,159.0,30.42,30.2,24.14,1518.0,2026-09-14T13:39:21.195883
04,Almería,2024,M10,141.0,19.5,17.45,13.87,1320.0,2026-09-14T13:39:21.195883
04,Almería,2024,M11,132.0,17.0,11.64,9.32,1197.0,2026-09-14T13:39:21.195883
04,Almería,2024,M12,123.0,21.32,17.24,13.71,1140.0,2026-09-14T13:39:21.195883
04,Almería,2025,M01,139.0,7.38,5.71,4.12,1023.0,2026-09-14T13:39:21.195883
04,Almería,2025,M02,144.0,18.96,13.08,10.14,1174.0,2026-09-14T13:39:21.195883
04,Almería,2025,M03,149.0,12.65,10.57,7.29,1187.0,2026-09-14T13:39:21.195883
04,Almería,2025,M04,143.0,20.51,17.9,14.64,1190.0,2026-09-14T13:39:21.195883
04,Almería,2025,M05,141.0,16.08,12.02,10.37,1151.0,2026-09-14T13:39:21.195883
04,Almería,2025,M06,164.0,30.05,23.19,18.42,1413.0,2026-09-14T13:39:21.195883
04,Almería,2025,M07,166.0,36.93,30.15,24.98,1445.0,2026-09-14T13:39:21.195883
04,Almería,2025,M08,170.0,42.68,50.19,38.08,1481.0,2026-09-14T13:39:21.195883
04,Almería,2025,M09,153.0,22.65,19.59,15.67,1388.0,2026-09-14T13:39:21.195883
04,Almería,2025,M10,143.0,19.91,18.22,13.11,1293.0,2026-09-14T13:39:21.195883
04,Almería,2025,M11,143.0,22.14,13.95,10.9,1272.0,2026-09-14T13:39:21.195883
04,Almería,2025,M12,137.0,20.57,16.45,13.02,1208.0,2026-09-14T13:39:21.195883
04,Almería,2026,M01,140.0,14.4,13.38,8.84,1369.0,2026-09-14T13:39:21.195883
04,Almería,2026,M02,148.0,20.34,16.4,10.52,1467.0,2026-09-14T13:39:21.195883
04,Almería,2026,M03,151.0,18.83,17.91,11.45,1423.0,2026-09-14T13:39:21.195883
04,Almería,2026,M04,146.0,21.28,18.07,13.74,1414.0,2026-09-14T13:39:21.195883
04,Almería,2026,M05,146.0,19.51,25.16,15.18,1375.0,2026-09-14T13:39:21.195883
04,Almería,2026,M06,143.0,25.98,26.11,16.87,1334.0,2026-09-14T13:39:21.195883
04,Almería,2026,M07,121.0,31.75,38.03,27.77,1227.0,2026-09-14T13:39:21.195883
05,Ávila,2024,M08,702.0,44.56,37.1,28.27,5990.0,2026-09-14T13:39:21.195883
05,Ávila,2024,M09,690.0,39.77,17.29,13.45,5956.0,2026-09-14T13:39:21.195883
05,Ávila,2024,M10,706.0,35.95,19.96,12.77,5856.0,2026-09-14T13:39:21.195883
05,Ávila,2024,M11,713.0,33.35,19.69,12.86,5834.0,2026-09-14T13:39:21.195883
05,Ávila,2024,M12,693.0,31.28,22.66,16.35,5711.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M01,706.0,18.78,13.35,9.13,5301.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M02,718.0,26.97,15.47,11.44,5530.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M03,728.0,29.83,15.19,12.19,5529.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M04,734.0,36.76,20.79,18.04,5668.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M05,748.0,34.3,19.55,15.66,5823.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M06,744.0,45.5,19.58,16.37,5855.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M07,707.0,53.33,31.79,24.52,5548.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M08,741.0,43.74,40.54,33.06,5867.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M09,732.0,40.88,18.21,15.15,5678.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M10,728.0,35.71,17.57,14.25,5773.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M11,752.0,32.38,14.67,11.91,5870.0,2026-09-14T13:39:21.195883
05,Ávila,2025,M12,722.0,31.51,20.26,16.94,5585.0,2026-09-14T13:39:21.195883
05,Ávila,2026,M01,654.0,16.01,9.38,7.79,5280.0,2026-09-14T13:39:21.195883
05,Ávila,2026,M02,659.0,27.48,13.05,10.67,5332.0,2026-09-14T13:39:21.195883
05,Ávila,2026,M03,661.0,30.89,12.05,10.06,5409.0,2026-09-14T13:39:21.195883
05,Ávila,2026,M04,660.0,37.17,18.14,14.8,5319.0,2026-09-14T13:39:21.195883
05,Ávila,2026,M05,671.0,34.33,19.24,14.27,5465.0,2026-09-14T13:39:21.195883
05,Ávila,2026,M06,662.0,38.96,16.36,13.06,5617.0,2026-09-14T13:39:21.195883
05,Ávila,2026,M07,628.0,45.01,24.58,18.78,5289.0,2026-09-14T13:39:21.195883
06,Badajoz,2024,M08,212.0,37.95,39.44,29.4,2452.0,2026-09-14T13:39:21.195883
06,Badajoz,2024,M09,220.0,31.3,25.53,15.63,2615.0,2026-09-14T13:39:21.195883
06,Badajoz,2024,M10,221.0,28.04,20.62,14.19,2546.0,2026-09-14T13:39:21.195883
