cod_prov,provincia,poblacion,total_viajeros,media_mensual_viajeros,std_mensual_viajeros,presion_turistica,indice_estacionalidad,n_meses,_meta.fecha_extraccion
01,Araba/Álava,333626.0,495295.0,41274.583333333336,8518.06808504811,1.4845815374101539,0.2063756287072902,12,2026-09-06T23:46:39.776749
02,Albacete,386464.0,409581.0,34131.75,6452.276795125043,1.0598166970274074,0.1890403156921354,12,2026-09-06T23:46:39.776749
03,Alicante/Alacant,1881762.0,5100916.0,425076.3333333333,112189.62754788579,2.710712619342935,0.2639281906572524,12,2026-09-06T23:46:39.776749
04,Almería,731792.0,1585364.0,132113.66666666666,81085.94539951626,2.166413407088353,0.6137589504960345,12,2026-09-06T23:46:39.776749
05,Ávila,158421.0,394330.0,32860.833333333336,6580.058135047597,2.489127072799692,0.20024014815147506,12,2026-09-06T23:46:39.776749
06,Badajoz,669943.0,751455.0,62621.25,13093.760006722148,1.1216700525268568,0.20909451674506893,12,2026-09-06T23:46:39.776749
07,"Balears, Illes",1173008.0,12710290.0,1059190.8333333333,855499.7399582871,10.835637949613302,0.8076917898411009,12,2026-09-06T23:46:39.776749
08,Barcelona,5714730.0,14282218.0,1190184.8333333333,218140.81281378918,2.4991938376791203,0.18328313947913905,12,2026-09-06T23:46:39.776749
09,Burgos,356055.0,971504.0,80958.66666666667,25448.539887864732,2.728522278861412,0.31433990869247763,12,2026-09-06T23:46:39.776749
10,Cáceres,389558.0,662563.0,55213.583333333336,11911.261618991526,1.7008070685238141,0.2157306390907707,12,2026-09-06T23:46:39.776749
11,Cádiz,1245960.0,3000043.0,250003.58333333334,102716.38111143123,2.4078164628077947,0.41085963545761667,12,2026-09-06T23:46:39.776749
12,Castellón/Castelló,587064.0,1347180.0,112265.0,50879.885650600496,2.294775356690242,0.45321236049169816,12,2026-09-06T23:46:39.776749
13,Ciudad Real,492591.0,443155.0,36929.583333333336,6776.628599402687,0.8996408785381788,0.1835013554914922,12,2026-09-06T23:46:39.776749
14,Córdoba,776789.0,1124808.0,93734.0,15458.817948460237,1.448022564686163,0.16492220483986852,12,2026-09-06T23:46:39.776749
15,"Coruña, A",1120134.0,2364143.0,197011.91666666666,83928.33561758435,2.1105894473339797,0.4260063910732186,12,2026-09-06T23:46:39.776749
16,Cuenca,195516.0,300081.0,25006.75,5934.389363164198,1.53481556496655,0.2373115004214541,12,2026-09-06T23:46:39.776749
17,Girona,786596.0,4581269.0,381772.4166666667,199888.7148719863,5.824170222070796,0.5235808197387745,12,2026-09-06T23:46:39.776749
18,Granada,921338.0,2894599.0,241216.58333333334,29517.320198820504,3.1417340867303856,0.12236853615504117,12,2026-09-06T23:46:39.776749
19,Guadalajara,265588.0,307548.0,25629.0,4142.445039960206,1.1579890657710439,0.16163116157322585,12,2026-09-06T23:46:39.776749
20,Gipuzkoa,726033.0,1598090.0,133174.16666666666,28606.9003208963,2.2011258441420707,0.21480817967120477,12,2026-09-06T23:46:39.776749
21,Huelva,525835.0,1197644.0,99803.66666666667,64236.432122891034,2.2776041914288703,0.643627977491385,12,2026-09-06T23:46:39.776749
22,Huesca,224264.0,1003193.0,83599.41666666667,27254.871025722867,4.4732681125816,0.32601747849982443,12,2026-09-06T23:46:39.776749
23,Jaén,627190.0,580077.0,48339.75,9064.740472893258,0.924882412028253,0.1875214595212689,12,2026-09-06T23:46:39.776749
24,León,451706.0,872910.0,72742.5,23549.85869673879,1.932473777191359,0.32374277343697,12,2026-09-06T23:46:39.776749
25,Lleida,439727.0,959494.0,79957.83333333333,19761.756334502315,2.182022027303304,0.24715222399934528,12,2026-09-06T23:46:39.776749
26,"Rioja, La",319796.0,653674.0,54472.833333333336,16474.644307559603,2.044034321880199,0.3024378079757115,12,2026-09-06T23:46:39.776749
27,Lugo,326013.0,835800.0,69650.0,36031.05538029911,2.5637014474882904,0.5173159422871373,12,2026-09-06T23:46:39.776749
28,Madrid,6751251.0,13482215.0,1123517.9166666667,91083.8560493055,1.9969950754312054,0.08107023012106437,12,2026-09-06T23:46:39.776749
29,Málaga,1695651.0,6369847.0,530820.5833333334,153727.90245901025,3.756579036606,0.28960426043327614,12,2026-09-06T23:46:39.776749
30,Murcia,1518486.0,1530585.0,127548.75,28648.671478399705,1.0079678047739657,0.22460958244122115,12,2026-09-06T23:46:39.776749
31,Navarra,661537.0,1136196.0,94683.0,29355.144563834743,1.7175093758928073,0.31003606311412546,12,2026-09-06T23:46:39.776749
